transaction_id,customer_id,amount,status,failure_reason,attempts,customer_type,transaction_date
TXN00064,CUST0064,799,failed,card_expired,3,returning,2026-06-14
TXN00065,CUST0065,14999,success,,1,returning,2026-06-07
TXN00066,CUST0066,499,success,,1,returning,2026-08-20
TXN00067,CUST0067,4999,success,,1,returning,2026-07-26
TXN00068,CUST0068,799,failed,insufficient_funds,2,new,2026-07-06
TXN00069,CUST0069,1999,failed,bank_declined,3,new,2026-06-18
TXN00070,CUST0070,4999,success,,1,returning,2026-08-23
TXN00071,CUST0071,7999,success,,1,loyal,2026-06-04
TXN00072,CUST0072,799,success,,1,new,2026-08-17
TXN00073,CUST0073,14999,failed,insufficient_funds,4,loyal,2026-06-25
TXN00074,CUST0074,1999,success,,1,returning,2026-08-04
TXN00075,CUST0075,7999,failed,card_expired,3,loyal,2026-07-02
TXN00076,CUST0076,1499,success,,1,new,2026-08-24
TXN00077,CUST0077,1499,success,,1,loyal,2026-06-27
TXN00078,CUST0078,9999,success,,1,loyal,2026-07-29
TXN00079,CUST0079,4999,failed,bank_declined,3,new,2026-08-19
TXN00080,CUST0080,1999,success,,1,returning,2026-08-05
TXN00081,CUST0081,7999,success,,1,returning,2026-06-15
TXN00082,CUST0082,799,failed,bank_timeout,1,loyal,2026-06-26
TXN00083,CUST0083,9999,success,,1,new,2026-08-23
TXN00084,CUST0084,1999,success,,1,returning,2026-07-20
TXN00085,CUST0085,14999,failed,insufficient_funds,4,loyal,2026-08-18
TXN00086,CUST0086,999,success,,1,new,2026-06-13
TXN00087,CUST0087,9999,success,,1,new,2026-06-20
TXN00088,CUST0088,1499,success,,1,loyal,2026-08-10
TXN00089,CUST0089,7999,success,,1,new,2026-06-12
TXN00090,CUST0090,4999,failed,card_expired,2,returning,2026-05-30
TXN00091,CUST0091,7999,success,,1,loyal,2026-06-27
TXN00092,CUST0092,799,success,,1,returning,2026-08-25
TXN00093,CUST0093,999,success,,1,returning,2026-08-14
TXN00094,CUST0094,799,failed,card_expired,4,returning,2026-06-27
TXN00095,CUST0095,1499,success,,1,returning,2026-07-22
TXN00096,CUST0096,1499,success,,1,returning,2026-06-01
TXN00097,CUST0097,1999,success,,1,new,2026-08-06
TXN00098,CUST0098,9999,failed,card_expired,1,returning,2026-07-02
TXN00099,CUST0099,1999,success,,1,returning,2026-07-08
TXN00100,CUST0100,999,success,,1,returning,2026-06-29
TXN00101,CUST0101,799,success,,1,new,2026-06-18
TXN00102,CUST0102,7999,success,,1,new,2026-06-15
TXN00103,CUST0103,7999,success,,1,new,2026-06-22
TXN00104,CUST0104,1499,success,,1,returning,2026-07-04
TXN00105,CUST0105,1999,success,,1,loyal,2026-07-11
TXN00106,CUST0106,14999,failed,bank_timeout,3,loyal,2026-06-26
TXN00107,CUST0107,14999,success,,1,loyal,2026-06-04
TXN00108,CUST0108,1999,failed,insufficient_funds,3,new,2026-07-16
TXN00109,CUST0109,4999,failed,bank_declined,3,returning,2026-07-08
TXN00110,CUST0110,1499,failed,bank_timeout,3,loyal,2026-07-28
TXN00111,CUST0111,4999,success,,1,loyal,2026-06-25
TXN00112,CUST0112,1499,success,,1,returning,2026-08-24
TXN00113,CUST0113,4999,failed,card_expired,4,new,2026-07-26
TXN00114,CUST0114,1499,failed,bank_declined,1,loyal,2026-06-14
TXN00115,CUST0115,799,failed,insufficient_funds,3,new,2026-07-17
TXN00116,CUST0116,499,success,,1,returning,2026-08-09
TXN00117,CUST0117,9999,success,,1,returning,2026-07-02
TXN00118,CUST0118,499,success,,1,returning,2026-06-25
TXN00119,CUST0119,2999,failed,network_error,1,loyal,2026-06-22
TXN00120,CUST0120,1499,success,,1,loyal,2026-08-06
TXN00121,CUST0121,2999,success,,1,returning,2026-06-26
TXN00122,CUST0122,4999,success,,1,new,2026-08-18
TXN00123,CUST0123,999,success,,1,returning,2026-06-16
TXN00124,CUST0124,499,failed,bank_declined,1,returning,2026-07-04
TXN00125,CUST0125,9999,success,,1,new,2026-08-23
TXN00126,CUST0126,999,success,,1,returning,2026-06-20
TXN00127,CUST0127,2999,success,,1,returning,2026-08-24
TXN00128,CUST0128,799,success,,1,new,2026-05-30
TXN00129,CUST0129,14999,success,,1,new,2026-06-23
TXN00130,CUST0130,799,failed,bank_timeout,4,new,2026-07-01
TXN00131,CUST0131,9999,success,,1,new,2026-07-01
TXN00132,CUST0132,1999,success,,1,returning,2026-08-06
TXN00133,CUST0133,1999,failed,card_expired,2,returning,2026-06-10
TXN00134,CUST0134,799,success,,1,loyal,2026-07-14
TXN00135,CUST0135,1499,success,,1,new,2026-07-13
TXN00136,CUST0136,7999,failed,card_expired,1,returning,2026-06-21
TXN00137,CUST0137,14999,failed,bank_declined,3,new,2026-06-15
TXN00138,CUST0138,1499,success,,1,new,2026-08-05
TXN00139,CUST0139,2999,failed,network_error,4,returning,2026-06-27
TXN00140,CUST0140,4999,success,,1,returning,2026-08-06
TXN00141,CUST0141,999,failed,network_error,4,loyal,2026-07-12
TXN00142,CUST0142,2999,success,,1,loyal,2026-08-12
TXN00143,CUST0143,14999,success,,1,returning,2026-06-06
TXN00144,CUST0144,4999,failed,network_error,4,new,2026-06-20
TXN00145,CUST0145,1999,failed,bank_timeout,4,returning,2026-08-08
TXN00146,CUST0146,14999,success,,1,new,2026-08-09
TXN00147,CUST0147,9999,success,,1,loyal,2026-06-29
TXN00148,CUST0148,4999,failed,bank_timeout,2,new,2026-06-24
TXN00149,CUST0149,4999,success,,1,loyal,2026-08-04
TXN00150,CUST0150,1499,failed,card_expired,4,returning,2026-06-17
TXN00151,CUST0151,14999,success,,1,returning,2026-08-06
TXN00152,CUST0152,999,success,,1,new,2026-08-12
TXN00153,CUST0153,7999,failed,insufficient_funds,1,returning,2026-06-21
TXN00154,CUST0154,4999,success,,1,returning,2026-08-13
TXN00155,CUST0155,4999,success,,1,returning,2026-07-12
TXN00156,CUST0156,1999,failed,card_expired,4,new,2026-08-15
TXN00157,CUST0157,499,failed,network_error,3,loyal,2026-06-09
TXN00158,CUST0158,1999,success,,1,loyal,2026-08-11
TXN00159,CUST0159,9999,success,,1,returning,2026-07-03
TXN00160,CUST0160,1499,failed,card_expired,2,loyal,2026-06-24
TXN00161,CUST0161,9999,failed,insufficient_funds,4,loyal,2026-07-05
TXN00162,CUST0162,999,success,,1,new,2026-06-02
TXN00163,CUST0163,2999,success,,1,returning,2026-08-07
TXN00164,CUST0164,499,success,,1,returning,2026-06-01
TXN00165,CUST0165,2999,success,,1,new,2026-08-06
TXN00166,CUST0166,1499,success,,1,loyal,2026-06-25
TXN00167,CUST0167,9999,success,,1,new,2026-05-31
TXN00168,CUST0168,4999,success,,1,returning,2026-06-01
TXN00169,CUST0169,14999,success,,1,returning,2026-06-24
TXN00170,CUST0170,14999,success,,1,loyal,2026-07-17
TXN00171,CUST0171,14999,failed,bank_timeout,3,new,2026-06-18
TXN00172,CUST0172,14999,failed,bank_timeout,4,loyal,2026-06-11
TXN00173,CUST0173,799,success,,1,loyal,2026-08-19
TXN00174,CUST0174,799,success,,1,returning,2026-06-22
TXN00175,CUST0175,1999,success,,1,loyal,2026-07-15
TXN00176,CUST0176,9999,failed,bank_timeout,1,loyal,2026-07-04
TXN00177,CUST0177,7999,success,,1,returning,2026-06-24
TXN00178,CUST0178,1999,success,,1,loyal,2026-08-06
TXN00179,CUST0179,1499,success,,1,new,2026-06-17
TXN00180,CUST0180,799,success,,1,returning,2026-06-20
TXN00181,CUST0181,1999,failed,network_error,1,loyal,2026-07-20
TXN00182,CUST0182,2999,failed,card_expired,1,new,2026-06-06
TXN00183,CUST0183,2999,success,,1,new,2026-08-18
TXN00184,CUST0184,9999,success,,1,loyal,2026-06-19
TXN00185,CUST0185,1499,failed,bank_timeout,3,loyal,2026-06-05
TXN00186,CUST0186,999,failed,network_error,4,loyal,2026-07-15
TXN00187,CUST0187,1999,failed,bank_timeout,4,new,2026-08-02
TXN00188,CUST0188,1499,success,,1,returning,2026-06-26
TXN00189,CUST0189,7999,failed,card_expired,3,loyal,2026-06-27
TXN00190,CUST0190,799,success,,1,returning,2026-06-15
TXN00191,CUST0191,1999,failed,insufficient_funds,3,returning,2026-07-07
TXN00192,CUST0192,4999,success,,1,new,2026-07-08
TXN00193,CUST0193,1999,success,,1,new,2026-08-04
TXN00194,CUST0194,7999,failed,bank_timeout,4,loyal,2026-06-27
TXN00195,CUST0195,2999,success,,1,new,2026-07-09
TXN00196,CUST0196,7999,failed,bank_declined,3,returning,2026-07-11
TXN00197,CUST0197,7999,failed,insufficient_funds,1,returning,2026-08-01
TXN00198,CUST0198,999,success,,1,new,2026-07-30
TXN00199,CUST0199,1499,success,,1,new,2026-08-25
TXN00200,CUST0200,799,success,,1,returning,2026-06-08
TXN00201,CUST0201,1499,success,,1,new,2026-06-21
TXN00202,CUST0202,1999,success,,1,loyal,2026-06-02
TXN00203,CUST0203,799,success,,1,new,2026-06-12
TXN00204,CUST0204,2999,success,,1,returning,2026-08-19
TXN00205,CUST0205,7999,failed,bank_timeout,1,loyal,2026-07-11
TXN00206,CUST0206,14999,failed,card_expired,2,loyal,2026-07-01
TXN00207,CUST0207,14999,success,,1,returning,2026-08-02
TXN00208,CUST0208,799,success,,1,returning,2026-08-08
TXN00209,CUST0209,799,failed,bank_declined,3,returning,2026-08-03
TXN00210,CUST0210,1999,failed,insufficient_funds,3,returning,2026-07-24
TXN00211,CUST0211,999,failed,network_error,2,returning,2026-06-04
TXN00212,CUST0212,7999,failed,bank_timeout,2,new,2026-06-23
TXN00213,CUST0213,2999,failed,insufficient_funds,1,returning,2026-07-24
TXN00214,CUST0214,1999,success,,1,new,2026-07-27
TXN00215,CUST0215,4999,failed,insufficient_funds,2,new,2026-07-05
TXN00216,CUST0216,799,success,,1,loyal,2026-07-11
TXN00217,CUST0217,2999,success,,1,returning,2026-07-16
TXN00218,CUST0218,1499,success,,1,new,2026-07-11
TXN00219,CUST0219,4999,failed,bank_declined,2,loyal,2026-07-02
TXN00220,CUST0220,7999,success,,1,returning,2026-07-18
TXN00221,CUST0221,2999,success,,1,new,2026-06-29
TXN00222,CUST0222,499,success,,1,returning,2026-08-18
TXN00223,CUST0223,999,success,,1,loyal,2026-06-08
TXN00224,CUST0224,9999,success,,1,returning,2026-08-05
TXN00225,CUST0225,999,success,,1,new,2026-06-16
TXN00226,CUST0226,1499,success,,1,loyal,2026-08-04
TXN00227,CUST0227,799,success,,1,new,2026-07-02
TXN00228,CUST0228,2999,failed,bank_declined,3,loyal,2026-06-25
TXN00229,CUST0229,499,success,,1,loyal,2026-06-07
TXN00230,CUST0230,2999,success,,1,loyal,2026-07-09
TXN00231,CUST0231,9999,failed,bank_timeout,2,loyal,2026-06-03
TXN00232,CUST0232,2999,failed,card_expired,1,new,2026-06-15
TXN00233,CUST0233,2999,success,,1,new,2026-06-07
TXN00234,CUST0234,4999,success,,1,returning,2026-08-12
TXN00235,CUST0235,9999,success,,1,new,2026-05-30
TXN00236,CUST0236,1499,failed,card_expired,3,new,2026-06-15
TXN00237,CUST0237,9999,success,,1,loyal,2026-06-29
TXN00238,CUST0238,9999,success,,1,returning,2026-07-05
TXN00239,CUST0239,9999,success,,1,new,2026-07-18
TXN00240,CUST0240,799,success,,1,loyal,2026-06-09
TXN00241,CUST0241,9999,success,,1,new,2026-07-08
TXN00242,CUST0242,499,success,,1,new,2026-07-02
TXN00243,CUST0243,799,success,,1,loyal,2026-07-27
TXN00244,CUST0244,9999,failed,bank_timeout,3,returning,2026-06-09
TXN00245,CUST0245,999,failed,bank_declined,3,returning,2026-08-05
TXN00246,CUST0246,499,success,,1,loyal,2026-06-23
TXN00247,CUST0247,4999,success,,1,loyal,2026-06-17
TXN00248,CUST0248,14999,success,,1,loyal,2026-06-11
TXN00249,CUST0249,9999,failed,network_error,4,loyal,2026-08-08
TXN00250,CUST0250,9999,success,,1,new,2026-08-22
TXN00251,CUST0251,14999,success,,1,returning,2026-07-26
TXN00252,CUST0252,799,failed,card_expired,4,loyal,2026-06-08
TXN00253,CUST0253,2999,success,,1,loyal,2026-06-11
TXN00254,CUST0254,1499,success,,1,returning,2026-08-05
TXN00255,CUST0255,4999,success,,1,loyal,2026-07-29
TXN00256,CUST0256,499,failed,card_expired,3,returning,2026-07-12
TXN00257,CUST0257,1999,failed,bank_timeout,2,new,2026-07-21
TXN00258,CUST0258,7999,failed,card_expired,4,loyal,2026-07-27
TXN00259,CUST0259,1999,success,,1,new,2026-07-04
TXN00260,CUST0260,4999,success,,1,returning,2026-06-14
TXN00261,CUST0261,14999,success,,1,loyal,2026-08-23
TXN00262,CUST0262,499,success,,1,loyal,2026-07-23
TXN00263,CUST0263,499,success,,1,new,2026-08-18
TXN00264,CUST0264,499,success,,1,new,2026-05-31
TXN00265,CUST0265,9999,success,,1,returning,2026-06-03
TXN00266,CUST0266,999,success,,1,returning,2026-07-30
TXN00267,CUST0267,2999,success,,1,loyal,2026-08-21
TXN00268,CUST0268,1999,failed,card_expired,1,loyal,2026-07-10
TXN00269,CUST0269,14999,success,,1,new,2026-08-09
TXN00270,CUST0270,999,success,,1,returning,2026-07-28
TXN00271,CUST0271,999,success,,1,returning,2026-06-17
TXN00272,CUST0272,9999,success,,1,returning,2026-08-13
TXN00273,CUST0273,4999,success,,1,returning,2026-06-04
TXN00274,CUST0274,1999,success,,1,loyal,2026-08-17
TXN00275,CUST0275,1499,success,,1,new,2026-08-24
TXN00276,CUST0276,799,success,,1,returning,2026-06-27
TXN00277,CUST0277,799,failed,network_error,4,loyal,2026-08-18
TXN00278,CUST0278,1999,success,,1,returning,2026-07-26
TXN00279,CUST0279,1499,success,,1,new,2026-07-19
TXN00280,CUST0280,9999,success,,1,new,2026-06-13
TXN00281,CUST0281,1499,success,,1,returning,2026-06-23
TXN00282,CUST0282,4999,success,,1,loyal,2026-07-07
TXN00283,CUST0283,1499,failed,bank_timeout,2,returning,2026-07-07
TXN00284,CUST0284,799,failed,network_error,2,new,2026-06-16
TXN00285,CUST0285,9999,failed,network_error,1,loyal,2026-07-04
TXN00286,CUST0286,2999,failed,bank_timeout,1,loyal,2026-06-24
TXN00287,CUST0287,999,success,,1,new,2026-07-30
TXN00288,CUST0288,9999,success,,1,loyal,2026-08-25
TXN00289,CUST0289,1499,failed,card_expired,1,loyal,2026-08-17
TXN00290,CUST0290,7999,success,,1,new,2026-06-19
TXN00291,CUST0291,4999,success,,1,returning,2026-08-02
TXN00292,CUST0292,7999,success,,1,returning,2026-06-23
TXN00293,CUST0293,4999,success,,1,returning,2026-07-09
TXN00294,CUST0294,14999,success,,1,loyal,2026-07-10
TXN00295,CUST0295,4999,success,,1,returning,2026-08-23
TXN00296,CUST0296,1999,success,,1,returning,2026-07-13
TXN00297,CUST0297,1999,success,,1,returning,2026-05-30
TXN00298,CUST0298,7999,failed,bank_declined,2,loyal,2026-07-09
TXN00299,CUST0299,9999,success,,1,new,2026-06-16
TXN00300,CUST0300,4999,success,,1,returning,2026-07-06
TXN00301,CUST0301,14999,success,,1,loyal,2026-07-28
TXN00302,CUST0302,499,success,,1,loyal,2026-06-01
TXN00303,CUST0303,999,failed,bank_declined,2,returning,2026-07-24
TXN00304,CUST0304,799,success,,1,loyal,2026-08-09
TXN00305,CUST0305,4999,success,,1,returning,2026-08-19
TXN00306,CUST0306,2999,success,,1,new,2026-06-06
TXN00307,CUST0307,9999,failed,network_error,1,loyal,2026-07-23
TXN00308,CUST0308,9999,success,,1,new,2026-06-21
TXN00309,CUST0309,999,success,,1,loyal,2026-06-14
TXN00310,CUST0310,7999,success,,1,returning,2026-06-01
TXN00311,CUST0311,499,success,,1,new,2026-07-25
TXN00312,CUST0312,2999,success,,1,returning,2026-07-19
TXN00313,CUST0313,2999,success,,1,returning,2026-06-17
TXN00314,CUST0314,499,failed,bank_timeout,4,new,2026-06-14
TXN00315,CUST0315,999,failed,bank_declined,1,loyal,2026-08-24
TXN00316,CUST0316,9999,success,,1,returning,2026-06-18
TXN00317,CUST0317,14999,success,,1,returning,2026-06-11
TXN00318,CUST0318,1999,success,,1,new,2026-07-04
TXN00319,CUST0319,7999,success,,1,new,2026-08-17
TXN00320,CUST0320,999,success,,1,returning,2026-08-25
TXN00321,CUST0321,499,success,,1,new,2026-08-07
TXN00322,CUST0322,1499,failed,insufficient_funds,4,returning,2026-07-06
TXN00323,CUST0323,7999,success,,1,loyal,2026-06-30
TXN00324,CUST0324,1999,failed,card_expired,1,returning,2026-06-12
TXN00325,CUST0325,499,success,,1,returning,2026-07-26
TXN00326,CUST0326,4999,success,,1,loyal,2026-07-16
TXN00327,CUST0327,9999,success,,1,loyal,2026-07-24
TXN00328,CUST0328,1499,success,,1,returning,2026-07-16
TXN00329,CUST0329,999,success,,1,loyal,2026-06-15
TXN00330,CUST0330,999,success,,1,new,2026-06-10
TXN00331,CUST0331,1999,success,,1,new,2026-05-28
TXN00332,CUST0332,7999,success,,1,new,2026-08-17
TXN00333,CUST0333,2999,success,,1,new,2026-06-18
TXN00334,CUST0334,999,success,,1,loyal,2026-06-06
TXN00335,CUST0335,1499,success,,1,new,2026-06-29
TXN00336,CUST0336,14999,success,,1,returning,2026-08-02
TXN00337,CUST0337,4999,success,,1,returning,2026-07-18
TXN00338,CUST0338,799,success,,1,new,2026-06-09
TXN00339,CUST0339,999,success,,1,new,2026-06-27
TXN00340,CUST0340,14999,failed,insufficient_funds,3,loyal,2026-07-23
TXN00341,CUST0341,1999,failed,card_expired,3,new,2026-06-10
TXN00342,CUST0342,4999,success,,1,new,2026-08-21
TXN00343,CUST0343,4999,success,,1,returning,2026-08-18
TXN00344,CUST0344,14999,failed,bank_declined,3,returning,2026-05-31
TXN00345,CUST0345,7999,failed,insufficient_funds,4,returning,2026-07-24
TXN00346,CUST0346,14999,success,,1,returning,2026-08-19
TXN00347,CUST0347,499,failed,bank_timeout,4,new,2026-05-30
TXN00348,CUST0348,2999,success,,1,new,2026-06-20
TXN00349,CUST0349,999,success,,1,new,2026-06-27
TXN00350,CUST0350,1999,success,,1,loyal,2026-08-05
TXN00351,CUST0351,14999,failed,bank_declined,2,returning,2026-07-08
TXN00352,CUST0352,14999,failed,bank_timeout,3,new,2026-07-11
TXN00353,CUST0353,2999,failed,bank_timeout,4,returning,2026-07-06
TXN00354,CUST0354,999,success,,1,loyal,2026-05-31
TXN00355,CUST0355,9999,success,,1,new,2026-07-11
TXN00356,CUST0356,2999,success,,1,new,2026-06-12
TXN00357,CUST0357,14999,success,,1,new,2026-06-25
TXN00358,CUST0358,7999,success,,1,loyal,2026-06-17
TXN00359,CUST0359,999,success,,1,returning,2026-07-05
TXN00360,CUST0360,9999,success,,1,new,2026-06-07
TXN00361,CUST0361,1999,success,,1,loyal,2026-08-25
TXN00362,CUST0362,14999,success,,1,new,2026-08-11
TXN00363,CUST0363,999,failed,bank_declined,4,new,2026-06-20
TXN00364,CUST0364,4999,success,,1,returning,2026-08-18
TXN00365,CUST0365,7999,success,,1,loyal,2026-08-23
TXN00366,CUST0366,14999,success,,1,returning,2026-06-14
TXN00367,CUST0367,499,success,,1,returning,2026-08-17
TXN00368,CUST0368,9999,failed,insufficient_funds,4,new,2026-06-26
TXN00369,CUST0369,4999,success,,1,loyal,2026-06-18
TXN00370,CUST0370,499,failed,network_error,1,new,2026-07-03
TXN00371,CUST0371,7999,success,,1,loyal,2026-08-18
TXN00372,CUST0372,2999,success,,1,returning,2026-08-02
TXN00373,CUST0373,499,success,,1,new,2026-08-01
TXN00374,CUST0374,14999,success,,1,new,2026-07-16
TXN00375,CUST0375,7999,success,,1,returning,2026-07-28
TXN00376,CUST0376,4999,success,,1,loyal,2026-07-06
TXN00377,CUST0377,2999,success,,1,loyal,2026-08-12
TXN00378,CUST0378,4999,success,,1,loyal,2026-08-02
TXN00379,CUST0379,14999,success,,1,returning,2026-07-06
TXN00380,CUST0380,1499,success,,1,loyal,2026-06-03
TXN00381,CUST0381,1499,success,,1,new,2026-08-14
TXN00382,CUST0382,999,success,,1,loyal,2026-07-20
TXN00383,CUST0383,499,success,,1,new,2026-06-09
TXN00384,CUST0384,4999,success,,1,returning,2026-06-01
TXN00385,CUST0385,14999,failed,bank_declined,3,new,2026-06-02
TXN00386,CUST0386,9999,success,,1,returning,2026-07-28
TXN00387,CUST0387,9999,success,,1,new,2026-07-06
TXN00388,CUST0388,1999,success,,1,loyal,2026-06-06
TXN00389,CUST0389,14999,failed,bank_declined,2,returning,2026-06-21
TXN00390,CUST0390,14999,failed,bank_declined,2,returning,2026-07-01
TXN00391,CUST0391,14999,success,,1,new,2026-08-04
TXN00392,CUST0392,2999,success,,1,returning,2026-08-08
TXN00393,CUST0393,9999,success,,1,returning,2026-08-10
TXN00394,CUST0394,999,success,,1,returning,2026-08-20
TXN00395,CUST0395,14999,success,,1,new,2026-08-21
TXN00396,CUST0396,499,success,,1,returning,2026-05-30
TXN00397,CUST0397,7999,success,,1,new,2026-08-10
TXN00398,CUST0398,999,failed,bank_declined,3,loyal,2026-07-22
TXN00399,CUST0399,7999,success,,1,new,2026-06-16
TXN00400,CUST0400,7999,success,,1,loyal,2026-06-16
TXN00401,CUST0401,1499,success,,1,returning,2026-06-14
TXN00402,CUST0402,499,success,,1,returning,2026-06-17
TXN00403,CUST0403,14999,failed,network_error,3,returning,2026-07-25
TXN00404,CUST0404,799,success,,1,new,2026-08-23
TXN00405,CUST0405,4999,success,,1,loyal,2026-08-10
TXN00406,CUST0406,1999,failed,card_expired,4,new,2026-06-12
TXN00407,CUST0407,1999,success,,1,returning,2026-07-31
TXN00408,CUST0408,1499,failed,card_expired,2,new,2026-07-27
TXN00409,CUST0409,799,failed,network_error,3,loyal,2026-06-15
TXN00410,CUST0410,499,success,,1,loyal,2026-08-24
TXN00411,CUST0411,9999,success,,1,new,2026-07-18
TXN00412,CUST0412,14999,success,,1,loyal,2026-06-16
TXN00413,CUST0413,9999,success,,1,loyal,2026-07-02
TXN00414,CUST0414,799,success,,1,new,2026-07-03
TXN00415,CUST0415,2999,success,,1,new,2026-08-03
TXN00416,CUST0416,9999,success,,1,new,2026-07-15
TXN00417,CUST0417,1499,failed,insufficient_funds,3,new,2026-08-15
TXN00418,CUST0418,7999,success,,1,returning,2026-06-24
TXN00419,CUST0419,1499,success,,1,returning,2026-06-18
TXN00420,CUST0420,1499,success,,1,new,2026-07-17
TXN00421,CUST0421,2999,success,,1,returning,2026-08-04
TXN00422,CUST0422,999,success,,1,new,2026-06-12
TXN00423,CUST0423,7999,success,,1,loyal,2026-08-26
TXN00424,CUST0424,2999,success,,1,returning,2026-08-20
TXN00425,CUST0425,14999,success,,1,loyal,2026-08-03
TXN00426,CUST0426,999,failed,network_error,4,new,2026-06-13
TXN00427,CUST0427,999,success,,1,loyal,2026-06-16
TXN00428,CUST0428,9999,failed,bank_declined,2,returning,2026-06-25
TXN00429,CUST0429,999,success,,1,loyal,2026-08-16
TXN00430,CUST0430,1999,success,,1,loyal,2026-08-14
TXN00431,CUST0431,1999,success,,1,loyal,2026-07-01
TXN00432,CUST0432,4999,success,,1,new,2026-06-11
TXN00433,CUST0433,799,success,,1,returning,2026-08-12
TXN00434,CUST0434,1999,success,,1,returning,2026-07-16
TXN00435,CUST0435,9999,success,,1,returning,2026-06-17
TXN00436,CUST0436,1999,success,,1,loyal,2026-06-04
TXN00437,CUST0437,799,success,,1,returning,2026-08-09
TXN00438,CUST0438,2999,success,,1,new,2026-06-10
TXN00439,CUST0439,999,success,,1,returning,2026-07-04
TXN00440,CUST0440,499,failed,network_error,4,loyal,2026-07-07
TXN00441,CUST0441,1999,failed,insufficient_funds,4,new,2026-08-02
TXN00442,CUST0442,1999,success,,1,returning,2026-06-25
TXN00443,CUST0443,7999,success,,1,new,2026-07-08
